timestamp,activeWord,lastChar,correctChar,layout,testNum,type,length,language,funbox
2022-12-12T07:46:59.796Z,breed ,b,b,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:46:59.972Z,breed ,e,r,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:47:00.172Z,breed ,r,r,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:47:00.892Z,breed ,r,e,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:47:01.045Z,breed ,e,e,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:47:01.220Z,breed ,e,e,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:47:01.515Z,breed ,d,d,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:47:01.694Z,breed , , ,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:47:02.122Z,gaffe ,g,g,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:47:02.204Z,gaffe ,a,a,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:47:02.613Z,gaffe ,f,f,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:47:02.788Z,gaffe ,f,f,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:47:03.019Z,gaffe ,e,e,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:47:03.198Z,gaffe , , ,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:47:03.467Z,lingo,l,l,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:47:03.707Z,lingo,i,i,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:47:03.848Z,lingo,n,n,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:47:04.148Z,lingo,g,g,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:47:04.200Z,lingo,o,o,semicolemakdh,4,words,10,wordle,null
2022-12-12T07:47:09.444Z,stern ,s,s,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:09.580Z,stern ,t,t,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:09.724Z,stern ,e,e,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:09.858Z,stern ,s,r,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:10.162Z,stern ,n,r,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:10.939Z,stern ,r,r,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:11.092Z,stern ,n,n,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:11.291Z,stern , , ,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:11.454Z,avail ,a,a,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:11.733Z,avail ,v,v,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:11.872Z,avail ,a,a,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:12.325Z,avail ,i,i,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:12.526Z,avail ,l,l,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:12.759Z,avail , , ,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:13.051Z,loyal ,l,l,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:13.206Z,loyal ,o,o,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:13.579Z,loyal ,l,y,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:14.284Z,loyal ,y,y,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:14.405Z,loyal ,a,a,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:14.595Z,loyal ,l,l,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:14.812Z,loyal , , ,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:15.051Z,shift ,s,s,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:15.195Z,shift ,h,h,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:15.495Z,shift ,i,i,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:16.204Z,shift ,f,f,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:16.379Z,shift ,t,t,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:16.612Z,shift , , ,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:16.911Z,stake ,s,s,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:17.162Z,stake ,t,t,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:17.283Z,stake ,a,a,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:17.664Z,stake ,k,k,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:17.821Z,stake ,e,e,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:18.013Z,stake , , ,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:18.208Z,short ,s,s,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:18.389Z,short ,h,h,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:18.665Z,short ,o,o,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:18.964Z,short ,r,r,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:19.100Z,short ,t,t,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:19.283Z,short , , ,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:19.614Z,rearm ,r,r,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:19.797Z,rearm ,e,e,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:20.078Z,rearm ,a,a,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:20.567Z,rearm ,r,r,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:21.125Z,rearm ,m,m,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:21.316Z,rearm , , ,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:21.604Z,dense ,d,d,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:21.749Z,dense ,e,e,semicolemakdh,5,words,10,wordle,null
2022-12-12T07:47:22.003Z,dense ,n,n,semicolemakdh,5,words,10,wordle,null
