timestamp,activeWord,lastChar,correctChar,layout,testNum,type,length,language,funbox,cpm
2022-12-12 07:46:57.644,beard ,a,a,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.267000
2022-12-12 07:46:58.227,beard ,r,r,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.583000
2022-12-12 07:46:58.362,beard ,d,d,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.135000
2022-12-12 07:46:58.741,beard , , ,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.379000
2022-12-12 07:46:59.796,breed ,b,b,semicolemakdh,4,words,10,wordle,null,0 days 00:00:01.055000
2022-12-12 07:46:59.972,breed ,e,r,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.176000
2022-12-12 07:47:00.172,breed ,r,r,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.200000
2022-12-12 07:47:00.892,breed ,r,e,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.720000
2022-12-12 07:47:01.045,breed ,e,e,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.153000
2022-12-12 07:47:01.220,breed ,e,e,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.175000
2022-12-12 07:47:01.515,breed ,d,d,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.295000
2022-12-12 07:47:01.694,breed , , ,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.179000
2022-12-12 07:47:02.122,gaffe ,g,g,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.428000
2022-12-12 07:47:02.204,gaffe ,a,a,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.082000
2022-12-12 07:47:02.613,gaffe ,f,f,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.409000
2022-12-12 07:47:02.788,gaffe ,f,f,semicolemakdh,4,words,10,wordle,null,0 days 00:00:00.175000
